
Playing Time	Performance	Expected	Progression	Per 90 Minutes	
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	xG	npxG	xAG	npxG+xAG	PrgC	PrgP	PrgR	Gls	Ast	G+A	G-PK	G+A-PK	xG	xAG	xG+xAG	npxG	npxG+xAG	Matches
89	Bruninho	br BRA	FW,MF	RB Bragantino	20	2003	2	1	79	0.9	0	1	1	0	0	0	0	0	0.2	0.2	0.1	0.2	0	4	7	0.00	1.14	1.14	0.00	1.14	0.18	0.08	0.26	0.18	0.26	Matches
90	Fabrício Bruno	br BRA	DF	Flamengo	27	1996	28	26	2,310	25.7	1	0	1	1	0	0	6	0	0.7	0.7	0.2	0.9	11	115	6	0.04	0.00	0.04	0.04	0.04	0.03	0.01	0.04	0.03	0.04	Matches
91	Fabricio Bustos	ar ARG	DF	Internacional	27	1996	11	9	864	9.6	1	1	2	1	0	0	4	0	0.7	0.7	0.8	1.5	12	63	64	0.10	0.10	0.21	0.10	0.21	0.08	0.08	0.16	0.08	0.16	Matches
92	Rafael Cabral	br BRA	GK	Grêmio	33	1990	6	5	457	5.1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
93	Cacá	br BRA	DF	Corinthians	24	1999	26	26	2,298	25.5	4	1	5	4	0	0	4	1	4.3	4.3	0.2	4.6	9	45	1	0.16	0.04	0.20	0.16	0.20	0.17	0.01	0.18	0.17	0.18	Matches
94	Raúl Cáceres	py PAR	DF	Vitória	32	1991	23	19	1,695	18.8	0	3	3	0	0	0	2	0	0.1	0.1	2.4	2.5	50	49	111	0.00	0.16	0.16	0.00	0.16	0.01	0.13	0.13	0.01	0.13	Matches
95	Cadu	br BRA	FW,DF	Atlético Mineiro	19	2004	20	12	1,008	11.2	3	0	3	3	0	0	1	0	1.9	1.9	0.1	2.1	13	16	65	0.27	0.00	0.27	0.27	0.27	0.17	0.01	0.18	0.17	0.18	Matches
96	Caetano	br BRA	DF	Corinthians	24	1999	5	4	281	3.1	0	0	0	0	0	0	2	1	0.1	0.1	0.1	0.2	0	8	0	0.00	0.00	0.00	0.00	0.00	0.03	0.02	0.05	0.03	0.05	Matches
97	Jonathan Cafu	br BRA	FW,MF	Cuiabá	32	1991	28	14	1,392	15.5	1	2	3	1	0	0	3	0	2.3	2.3	1.2	3.5	39	43	125	0.06	0.13	0.19	0.06	0.19	0.15	0.08	0.23	0.15	0.23	Matches
98	Rodrigo Caio	br BRA	DF	Grêmio	30	1993	5	4	377	4.2	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1	6	3	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.01	0.01	Matches
99	Caíque	br BRA	GK	Grêmio	26	1997	6	5	488	5.4	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
100	Calebe	br BRA	MF,FW	Fortaleza	23	2000	7	0	127	1.4	0	0	0	0	0	0	1	0	0.2	0.2	0.2	0.4	4	8	12	0.00	0.00	0.00	0.00	0.00	0.15	0.15	0.31	0.15	0.31	Matches
101	Lucas Calegari	br BRA	DF	Fluminense	21	2002	2	0	80	0.9	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	1	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
102	Jonathan Calleri	ar ARG	FW	São Paulo	30	1993	27	24	2,047	22.7	5	4	9	5	0	0	6	0	5.6	5.6	1.3	6.9	24	28	112	0.22	0.18	0.40	0.22	0.40	0.25	0.06	0.30	0.25	0.30	Matches
